objID,modelMag_u,modelMag_g,modelMag_r,RA,DEC,type
1237671939804627019,25.45803,24.21507,22.92668,258.387803064811,64.0521129705932,6
1237671939804627007,24.39223,22.76524,21.89747,258.386578464237,64.0496228125895,3
1237671939804626993,23.77897,22.59369,21.69792,258.351421931657,64.051960251995,3
1237671939804562664,22.67407,22.59287,22.12969,258.242034524873,64.0941402991073,3
1237671939804562661,24.41442,23.18833,22.00494,258.242198786996,64.0824031612332,3
1237671939804562422,23.28696,21.7996,20.91749,258.081386256449,64.0056856459086,3
1237671939804562402,22.68506,20.67244,19.91797,258.08066918481,63.9963147320894,6
1237671939804561507,24.92768,22.9501,22.17162,258.081892336943,64.0350147387876,6
1237651311070019898,20.74663,18.53896,17.64768,258.386891127828,64.0046833738455,3
1237651311070019674,23.84219,22.68757,21.7665,258.38722416653,64.0541480242882,3
1237651311070019672,24.55504,22.7388,21.64756,258.386532384272,64.0496284907837,3
1237651311070019668,23.67453,22.18444,21.53407,258.351399484501,64.051859950496,3
1237651311070019667,25.60627,23.51316,22.36587,258.386602433473,64.0392255059026,6
1237671939804628437,23.39927,23.55692,23.37318,258.351137054699,64.0141830271437,6
1237671939804627880,25.57056,24.76253,23.34816,258.351172137774,64.0055587941063,6
1237671939804562625,22.26808,21.77232,20.61148,258.242577359639,64.0182663315651,3
1237671939804561479,24.11419,20.38391,18.97198,258.079304864565,64.0456172285513,6
1237671939804562580,22.08942,21.58161,20.73037,258.205805053129,64.0191998575284,3
1237671939804626955,23.03652,19.52031,18.03946,258.328079715355,64.0407630926491,6
1237671939804626967,20.82954,18.86759,25.07702,258.36637803502,64.0386802077433,3
1237671939804627307,18.13652,16.10246,15.1578,258.329332563346,64.0768468051447,3
1237671939804627318,24.3194,24.26584,22.27921,258.328270718043,64.0732042078245,3
1237671939804627345,25.34703,23.61808,24.13966,258.327858558675,64.0702324534387,6
1237671939804627359,24.14567,23.38792,21.90963,258.366272904409,64.0102446623308,6
1237671939804627717,25.14077,22.93638,21.72152,258.366075747308,64.0054712658764,3
1237671939804627719,24.87362,25.25146,23.49617,258.365779643791,64.0026636944751,6
1237671939804562578,24.23913,23.02995,23.07908,258.206163467515,64.005186180843,6
