,objID,modelMag_u,modelMag_g,modelMag_r,RA_x,DEC_x,type,bestObjID,RA_y,DEC_y,z,u_g,g_r
405,1.2376719398045627e+18,24.658160000000002,23.21078,21.664720000000003,258.023593033411,64.01547188528241,3.0,,,,,1.4473800000000026,1.546059999999997
406,1.2376513110700206e+18,22.27719,22.91943,21.66936,258.353909792337,64.00478657985771,3.0,,,,,-0.6422399999999975,1.2500699999999973
412,1.2376719398046282e+18,23.26127,22.24359,20.86316,258.385385617726,64.0082896915561,3.0,,,,,1.0176799999999986,1.3804300000000005
413,1.237671939804628e+18,23.6166,22.48915,21.60886,258.385666054806,64.08751762557391,3.0,,,,,1.1274499999999996,0.8802899999999987
415,1.237671939804628e+18,22.15406,22.34644,21.744979999999998,258.354062914563,64.0047292262127,3.0,,,,,-0.19238,0.601460000000003
416,1.237671939804628e+18,23.860979999999998,22.574360000000002,21.972179999999998,258.326830715417,64.03276613555259,3.0,,,,,1.2866199999999957,0.6021800000000042
417,1.237671939804628e+18,22.37571,22.90822,22.92645,258.32627914030604,63.9901078145487,3.0,,,,,-0.5325099999999985,-0.01822999999999908
419,1.2376719398045627e+18,24.78432,23.25769,22.53295,258.256491479425,64.020962895509,3.0,,,,,1.5266300000000008,0.7247400000000006
420,1.2376513110700196e+18,24.29881,21.68402,20.76387,258.325959098576,64.08482671592279,3.0,,,,,2.6147899999999993,0.9201499999999996
430,1.2376512976482478e+18,22.7529,21.85353,21.1161,258.076834657871,63.999217425949496,3.0,,,,,0.8993700000000011,0.7374299999999998
431,1.2376512976482478e+18,24.70412,22.88095,22.098489999999998,258.157311570358,64.1037951560529,3.0,,,,,1.823170000000001,0.7824600000000004
434,1.237671939804562e+18,20.071279999999998,18.2945,17.40233,258.077055012006,64.00807713664311,3.0,1.237671939804562e+18,258.07722,64.008077,0.0809986,1.7767799999999987,0.8921700000000001
